route_long_name,latitude,longitude
Bagmane Teck Park - C V Ramanagra,,
Kodigehalli Yelahanka road - Canara Bank Cunningham Road,,
Yelahanka Satelite Town 5th Phase - Maniksha Parade Ground,,
Nelamangala - MGRoad,,
Kempegowda Bus Station - Janapriya Town Ship,,
Bandi Kodigehalli - Kempegowda Bus Station,,
Shanthinagar TTMC - Shirke KHB Quarters,,
Basaveshwara Nagara - Shanthinagar TTMC,,
Chandra Layout - MATHA AMRUTHAMAYI COLLEGE,,
Shivajinagar Bus Station - BHEL Layout Maramma Temple,,
Shivajinagar Bus Station - Poornapragna Layout,,
Yeshwanthpur TTMC - Geleyara Balaga Bus Stand,,
Nandhini Layout Bus Station - Kempegowda Bus Station,,
Cambridge Layout - Head Start School,,
Arybhata ISRO Head Office - ISRO Layout,,
Swatantryodhara Nagara - Kempegowda Bus Station,,
Central Silk Board - Kadugodi,,
Shivajinagar Bus Station - Kadugodi,,
Banashankari Bus Station - Hebbala,,
Brigade Road - Bannerghatta National Park,,
Kamalanagar BEML layout - Ganga Nagara,,
Corporation - Kaggalipura,,
Mayohall - Sarjapura Bus Stand,,
Brigade Road - Electronic City Wipro Gate,,
Shivajinagar Bus Station - Kumaraswamy Layout West,,
Shivajinagar Bus Station - Chikkabettahalli,,
Depot 11 - Vidyaranyapura 6th Block,,
BMT14 - Bhuvaneshwari Nagara,,
HSR Layout - Kempegowda Bus Station,,
St John Hospital - Neo Town,,
Kempegowda Bus Station - Electronic City 2nd Phase,,
Kempegowda Bus Station - Wipro gate,,
Canara Bank Cunningham Road - Adithi School,,
Electronic City Wipro Gate - Yeshwanthapura New Railway Station,,
Koramangala Kalyana Mantapa - Kadugodi,,
KM SCHOOL - Anjanapura,,
AMD Private Limited - ITPL,,
Kempegowda Bus Station - Channasandra,,
Chandra Layout 1st Stage - Kempegowda Bus Station,,
Nayandahalli Railway Gate - Krishnarajendra Market,,
BCC Layout - Krishnarajendra Market,,
Tippasandra - Central Silk Board,,
Depot 6 - Infosys,,
Kempegowda Bus Station - BGS Hospital,,
Saraswathi Nagara Vijayanagara - Krishnarajendra Market,,
GKW Layout - Krishnarajendra Market,,
Marenahalli - Krishnarajendra Market,,
JC Nagara - Jaggath Pharma,,
Kamakya - Vidhana Soudha,,
Depot-32 - JPNagar B K Circle,,
HSR BDA COMPLEX - Electronic City 2nd Phase,,
Krishnarajendra Market - Anjanapura,,
Kempegowda Bus Station - Kothnuru Kanakapura Road,,
Kempegowda Bus Station - Anjanapura,,
Uttarahalli - MTR,,
Krishnarajendra Market - Avalahalli BDA Layout,,
Haniyur - Yelahanka,,
Kempegowda Bus Station - Jambusavari dinne,,
Yelahanka Satelite Town 5th Phase - Thara Hunise,,
KR Market - Bellandur Coffee Day,,
JFWTC-ITPL - Kadugodi,,
Shivajinagar Bus Station - Mathikere,,
Kempegowda Bus Station - JP Nagara 6th Phase,,
Shivajinagar Bus Station - BTM Layout Bus Stop,,
Krishnarajendra Market - Mantanakurchi,,
Shivajinagar Bus Station - Chandra Layout,,
Kempegowda Bus Station - Chikkallasandra Bus Stand,,
Shivajinagar Bus Station - Bharath House building Co-operative Society layout,,
Kempegowda Bus Station - Uttarahalli,,
JP Nagar 6th Phase - Manyatha Embasy Business Park,,
Krishnarajendra Market - Devagere,,
Srinivasa Nagara - JFWTC,,
Bagmane Teck Park - Kempegowda Bus Station,,
Kempegowda Bus Station - Kempegowda Bus Station,12.9781298,77.57220606
Goragunte Palya - Outer Ring Road Company Association,,
St.John`s Wood Apartment - Attibele,,
Shivajinagar Bus Station - Globale Academy Bangarappa Nagara,,
Uttarahalli - Kempegowda Bus Station,,
HSR BDA COMPLEX - Electronic City Wipro Gate,,
Depot-13-BS - Uttarahalli,,
Brigade Road - Shanthinagar TTMC,,
Madanayakanahalli - Manyatha Embasy Business Park,,
Jayanagara 9th Block - Garebhavi Palya,,
Depot-25 - Avalahalli BDA Park,,
Neo Town - Chandapura,,
HAL Main Gate - Vidyaranyapura,,
Thirumalapura - Kempegowda Bus Station,,
Yelahanka Satelite Town 5th Phase - Isro Layout,,
Krishnarajendra Market - Sadenahalli,,
Krishnarajendra Market - Byatha,,
Kempegowda Bus Station - Doddaballapura,,
Krishnarajendra Market - Thara Hunise,,
Budamanahalli - Krishnarajendra Market,,
Krishnarajendra Market - Koluvarayanahalli,,
Krishnarajendra Market - Jalige,,
Krishnarajendra Market - Dodda Tumkur,,
Krishnarajendra Market - Muthkur Hesaraghatta,,
Kakolu - Krishnarajendra Market,,
Doddabele - Krishnarajendra Market,,
Gowdahalli - Krishnarajendra Market,,
Kempegowda Bus Station - Doddabele,,
Kempegowda Bus Station - Kengeri Satelite Town,,
Krishnarajendra Market - Nagadasanahalli,,
Krishnarajendra Market - Ramagondanahalli,,
Krishnarajendra Market - Dubasi Palya,,
Karnataka Housing Complex - Kempegowda Bus Station,,
Koramangala - Kempegowda Bus Station,,
Kempegowda Bus Station - Kendriya Vihara Yelahanka,,
Koramangala - Kempegowda Bus Station,,
Girinagara 2ND Stage - Yelahanka,,
Madanayakanahalli - Kengeri TTMC,,
Kempegowda Bus Station - Koramangala Kendriya Sadana,,
Tavarekere Magadi Road - Krishnarajendra Market,,
Cristal House School - Kothnuru Bagalur Road,,
Kempegowda Bus Station - Karnataka Housing Complex,,
Krishnarajendra Market - Kommagatta,,
Shivajinagar Bus Station - Kendriya Vihara Yelahanka,,
Koramangala - Kamalanagar BEML layout,,
Krishnarajendra Market - Nelamangala,,
Kempegowda Bus Station - Yelahanka Satelite Town,,
Ramasandra - Krishnarajendra Market,,
Kempegowda Bus Station - Allalasandra,,
Hunisemarada Palya - Kempegowda Bus Station,,
Shivajinagar Bus Station - Puttenahalli Yelhanka,,
Koramangala 8th Block - Kempegowda Bus Station,,
Kengeri Bandemata Badavane - Kempegowda Bus Station,,
Kempegowda Bus Station - Judicial Layout,,
Bettana Palya - Krishnarajendra Market,,
Kempegowda Bus Station - Yelahanka Satelite Town,,
Krishnarajendra Market - Tavare Kere,,
Krishnarajendra Market - Doddabasthi,,
Kengeri Bandemata Badavane - Krishnarajendra Market,,
Nelamangala - Hosakote Bus Stand,,
MCTC Satellite Bus Stand - Vidyaranyapura,,
Yelahanka Satelite Town - K R Puram,,
BEL Office - Hunasamarenahalli,,
Yelahanka - Nelamangala,,
Kempegowda Bus Station - Nelamangala,,
Yelahanka - Yeshwanthpur TTMC,,
K R Puram - Hebbala,,
Krishnarajendra Market - Yelahanka Satelite Town 5th Phase,,
Thara Hunise - Krishnarajendra Market,,
Vaddarahalli BMTC Training Centre - Krishnarajendra Market,,
Kempegowda Bus Station - Mallasandra,,
Yelahanka Old Town - Sindhi High School,,
Sugatta - Krishnarajendra Market,,
Kuduregere - Krishnarajendra Market,,
Kuduragere Betta Halasuru - Kempegowda Bus Station,,
Infosys - Navarang Talkies,,
GKW Layout - Malleshwaram 18th Cross,,
Shivajinagar Bus Station - Harohalli,,
Shivajinagar Bus Station - Vishwanatha Nagenahalli,,
Shivajinagar Bus Station - Gunjoor,,
Bommanahalli - Jalahalli Cross,,
MCTC Bus Stand - KNarayanapura,,
Hennur Cross - ISRO Layout,,
ISRO Layout - Domlur TTMC Bus Stand,,
